# C3S1 C3P2 C1S0 Ct1S0pp Ct1S0nn C3P0 C3P1 Ct1S0np cE CE1 Ct3S1 c3 c1 cD C1P1 c4 
9.602149559612570551e-01 -8.822525828776525136e-01 2.684397934087786819e+00 -1.601509747782402793e-01 -1.606445824634484265e-01 1.337969671843625363e+00 -1.141399134256260162e+00 -1.605941539864850220e-01 4.009394462556294947e-01 6.404441703602069547e-01 -1.770498228399212948e-01 -4.229740261633764931e+00 -1.216005181798380352e+00 7.807273794447678883e-01 6.078850479493077552e-01 3.775840353974241559e+00
9.300093202430865791e-01 -7.236432960558598637e-01 2.380832523445612470e+00 -1.594640213139747742e-01 -1.598022172691637988e-01 1.510530631353293796e+00 -1.064216729491509028e+00 -1.595187594266789799e-01 -1.038671653162661634e-01 6.364608032452356845e-01 -1.792849280300309045e-01 -4.272201684866459459e+00 -1.158038217784172819e+00 1.236631127391649931e+00 5.221083375293065210e-01 3.987400264309566289e+00
1.012918773539482453e+00 -8.628594200425074856e-01 2.775216035632481759e+00 -1.555345269335597913e-01 -1.554417717321208703e-01 1.295760106544104451e+00 -1.211186978416236348e+00 -1.555061564571411648e-01 -7.210881399550761461e-01 6.572687789034631356e-01 -1.790522829158853468e-01 -3.671952744581433503e+00 -1.152008349296346879e+00 1.457350601833031112e+00 5.801421865450896442e-01 3.922249440673396315e+00
9.207975078395670421e-01 -8.433562002765793153e-01 2.439235992258001584e+00 -1.626310785387055924e-01 -1.619679687515014899e-01 1.359387572333050853e+00 -1.105104303597341797e+00 -1.624460246747869152e-01 -1.415471858742248790e-01 6.425060873584717003e-01 -1.765475987702654626e-01 -3.963067882956810006e+00 -1.110522271928726878e+00 9.701769457008655451e-01 5.757282108898758022e-01 4.010436708190676214e+00
9.778878639378659754e-01 -8.618137027855868881e-01 2.734780778894832398e+00 -1.590048459176118811e-01 -1.590962103527157889e-01 1.270305352880066074e+00 -1.201635724976321207e+00 -1.585730786592946806e-01 -2.731575770941963022e-01 6.462983853313609695e-01 -1.765969351168579227e-01 -4.295290312484820738e+00 -1.062533482076074343e+00 6.729402081173194716e-01 5.431912924578268242e-01 3.551119664300341761e+00
1.083938336651215861e+00 -8.187002532191967052e-01 2.706206506942669954e+00 -1.575822587272005526e-01 -1.579689061209929579e-01 1.478638400543840881e+00 -1.146563755663111639e+00 -1.579120857023894597e-01 -7.190515748775705429e-02 6.383727245182015952e-01 -1.794033713074738301e-01 -3.699573735438269839e+00 -1.177912104051535236e+00 2.557848990408781997e-01 5.061003866899653758e-01 3.439390742822562963e+00
1.098887648071764200e+00 -7.814681395732858693e-01 2.662476298891747639e+00 -1.623520871582140312e-01 -1.624083320077301107e-01 1.475022454223990920e+00 -1.047773500672219971e+00 -1.626360394167060963e-01 1.305917534913152434e-01 6.212923407259508535e-01 -1.788747482079234841e-01 -3.854198512229739748e+00 -1.131242706645470442e+00 7.571589683862056663e-01 5.858022667225997182e-01 3.572190810251428594e+00
1.000395688922303350e+00 -7.461579879851092389e-01 2.618218780261860168e+00 -1.620135234576631500e-01 -1.620073433530215823e-01 1.420932008792929579e+00 -1.183293363857535807e+00 -1.623126254127856549e-01 -1.654483566622232393e-01 6.328240742023353294e-01 -1.779223077844903633e-01 -4.201390649086356177e+00 -1.037962345699262379e+00 6.594975759049671593e-01 5.558638124881638554e-01 3.463714271493528063e+00
1.077199795844452135e+00 -8.171873736641234176e-01 2.302385178057082538e+00 -1.610447479091701162e-01 -1.617076485882637804e-01 1.469363417070373545e+00 -1.073475310343632527e+00 -1.618287593039650363e-01 -3.092982288789793976e-01 6.319505653436618964e-01 -1.770247030653769593e-01 -4.264232918610431078e+00 -1.189940879762951154e+00 6.026172942003649169e-01 5.201756583581976789e-01 3.881625000060551223e+00
9.893381738955511207e-01 -8.699488862969101399e-01 2.632098384715272132e+00 -1.610447626682184052e-01 -1.610040465905445972e-01 1.391583431229334922e+00 -1.171736696835312008e+00 -1.602956403120997242e-01 1.420244300838215956e-01 5.988357148070294622e-01 -1.784062699568276511e-01 -3.808914275413778583e+00 -1.093624153809134025e+00 1.289475687454388453e+00 5.559980859080908555e-01 3.962291151987401783e+00
