# Index    E(CCSD)                Full Expectation Value
  0   -381.069179062267      -1.180654645        
  1   -596.241879222978      1.447828770         
#  2   4.090297714498943E+038   -Infinity           
  3   -133.926311008599      -13.60354424        
  4   -148.408478477906      -8.746632576        
  5   -101.328361699326      -16.38808823        
  6   -97.6802208352611      -17.32006645        
  7   -86.8140648116144      -18.67610359        
  8   -155.108345948588      -7.449377537        
  9   -250.192196155622      -2.691041946        
 10   -210.349173107880      -6.556458473        
 11   -140.165734557854      -9.510454178        
 12   -198.477449759006      -5.814725876        
 13   -91.1953033195465      -18.10079765        
 14   -87.7414103241931      -15.38097858        
 15   -84.3577256204692      -20.96981049        
 16   -198.245884578618      -7.045094967        
 17   -113.070236006744      -17.41274261        
 18   -73.7371849275764      -22.28364944        
 19   -102.871548520929      -16.61290550        
 20   -154.791916581451      -9.371415138        
 21   -98.6928111569507      -17.22685623        
 22   -115.768105353212      -12.17724514        
 23   -100.282903574711      -19.11664963        
 24   -231.556134829241      -3.730608225        
 25   -97.8152037374102      -16.58985138        
 26   -84.2827058330978      -18.82498550        
 27   -182.264522948244      -5.515851021        
 28   -134.756729577839      -11.93331528        
 29   -246.659146003518      -4.474903107        
 30   -75.4112170411993      -21.59527206        
 31   -215.183324587995      -4.653261662        
 32   -224.531040011185      -3.336751699        
 33   -94.7750434311809      -15.43956947        
 34   -164.836666196999      -11.40569782        
 35   -127.841645687417      -11.65552998        
 36   -138.755393812445      -12.36719513        
 37   -145.701743670647      -10.72389889        
 # 38   -296.378342194317      MISSING             
 39   -147.028764360134      -9.989521980        
 40   -117.669803474327      -14.71689034        
 41   -120.127838028771      -13.70115757        
 42   -145.950040696438      -8.700145721        
 43   -147.276492733231      -10.41723156        
 44   -250.064341080225      -3.980767965        
 45   -101.281364045821      -17.16293144        
 46   -109.450779052449      -15.92126560        
 47   -133.405553001086      -12.40079784        
 48   -106.604109276528      -12.43572903        
 49   -85.3165097585967      -18.18758583        
 50   -222.400935627386      -2.645024776        
 51   -120.814683755981      -16.40992737        
 52   -397.343358601025      -1.011554241        
# 53   3844.70322637587       12848.54492         
 54   -104.907027475222      -15.07723236        
 55   -137.189042438658      -13.46282768        
 56   -123.524214351385      -11.33965015        
 57   -77.0050435013369      -19.43496323        
 58   -171.092485899291      -9.760775566        
 59   -406.836525997256      -2.779476166        
 60   -85.5905246923102      -16.95368576        
 61   -91.9749640365640      -13.08039570        
 62   -85.2372248758991      -19.41739082        
